Packet No,Time,Source IP,Destination IP,Protocol,Packet Length,Source Port,Destination Port
1,2026-07-25 16:39:22,192.168.1.9,52.168.117.168,TCP,172,64547,443
2,2026-07-25 16:39:22,192.168.1.9,52.168.117.168,TCP,3423,64547,443
3,2026-07-25 16:39:22,52.168.117.168,192.168.1.9,TCP,54,443,64547
4,2026-07-25 16:39:22,52.168.117.168,192.168.1.9,TCP,54,443,64547
5,2026-07-25 16:39:22,52.168.117.168,192.168.1.9,TCP,153,443,64547
6,2026-07-25 16:39:22,192.168.1.9,52.168.117.168,TCP,54,64547,443
7,2026-07-25 16:39:22,104.18.41.41,192.168.1.9,UDP,663,443,60512
8,2026-07-25 16:39:23,192.168.1.9,104.18.41.41,UDP,87,60512,443
9,2026-07-25 16:39:24,20.184.175.20,192.168.1.9,TCP,54,443,61121
10,2026-07-25 16:39:24,23.206.197.161,192.168.1.9,UDP,73,443,65016
11,2026-07-25 16:39:24,192.168.1.9,23.206.197.161,UDP,74,65016,443
12,2026-07-25 16:39:24,192.168.1.9,23.206.197.161,UDP,71,65016,443
13,2026-07-25 16:39:25,23.206.197.161,192.168.1.9,UDP,66,443,65016
14,2026-07-25 16:39:25,192.168.1.9,23.206.197.161,UDP,71,65016,443
15,2026-07-25 16:39:25,23.206.197.161,192.168.1.9,UDP,66,443,65016
16,2026-07-25 16:39:25,192.168.1.9,23.206.197.161,UDP,74,65016,443
17,2026-07-25 16:39:25,23.206.197.161,192.168.1.9,UDP,66,443,65016
18,2026-07-25 16:39:25,192.168.1.9,23.206.197.161,UDP,71,65016,443
19,2026-07-25 16:39:25,23.206.197.161,192.168.1.9,UDP,66,443,65016
20,2026-07-25 16:39:25,192.168.1.9,23.206.197.161,UDP,71,65016,443
